# Dinsmoor. William Bell. 1931. The Archons of Athens in the Hellenistic Age.
# Cambridge: Harvard University Press.
# http://archive.org/details/archonsofathensi0000dins.
432 July  15 + He
358 Jan.  13 - Ga
    Feb.  11 + An
    March 13 - El
    April 11 + Mo
    May   11 - Th
    June   9 + Sk
    July   9 - He
    Aug.   7 + Me
    Sept.  6 - Bo
    Oct.   5 + Py
    Nov.   4 - Ma
    Dec.   3 + Po
357 Jan.   2 + Po
    Feb.   1 - Ga
    March  1 + An
    March 31 - El
    April 29 + Mo
    May   29 - Th
    June  27 + Sk
    July  27 - He
    Aug.  25 + Me
    Sept. 24 - Bo
    Oct.  23 + Py
    Nov.  22 - Ma
    Dec.  21 + Po
356 Jan.  20 - Ga
    Feb.  18 + An
    March 20 - El
    April 18 + Mo
    May   18 - Th
    June  16 + Sk
    July  16 + He
    Aug.  15 - Me
    Sept. 13 + Bo
    Oct.  13 - Py
    Nov.  11 + Ma
    Dec.  11 - Po
355 Jan.   9 + Ga
    Feb.   8 - An
    March  9 + El
    April  8 + Mo
    May    8 - Th
    June   6 + Sk
    July   6 - He
    Aug.   4 + Me
    Sept.  3 - Bo
    Oct.   2 + Py
    Nov.   1 - Ma
    Nov.  30 + Po
    Dec.  30 - Po
354 Jan.  28 + Ga
    Feb.  27 - An
    March 28 + El
    April 27 - Mo
    May   26 + Th
    June  25 + Sk
    July  25 - He
    Aug.  23 + Me
    Sept. 22 - Bo
    Oct.  21 + Py
    Nov.  20 - Ma
    Dec.  19 + Po
353 Jan.  18 - Ga
    Feb.  16 + An
    March 17 - El
    April 15 + Mo
    May   15 - Th
    June  13 + Sk
    July  13 - He
    Aug.  11 + Me
    Sept. 10 - Bo
    Oct.   9 + Py
    Nov.   8 + Ma
    Dec.   8 - Po
352 Jan.   6 + Ga
    Feb.   5 - An
    March  6 + El
    April  5 - Mo
    May    4 + Th
    June   3 - Sk
    July   2 + He
    Aug.   1 - Me
    Aug.  30 + Bo
    Sept. 29 - Py
    Oct.  28 + Ma
    Nov.  27 - Po
    Dec.  26 + Po
351 Jan.  25 + Ga
    Feb.  24 - An
    March 25 + El
    April 24 - Mo
    May   23 + Th
    June  22 - Sk
    July  21 + He
    Aug.  20 - Me
    Sept. 18 + Bo
    Oct.  18 - Py
    Nov.  16 + Ma
    Dec.  16 - Po
350 Jan.  14 + Ga
    Feb.  13 - An
    March 14 + El
    April 13 - Mo
    May   12 + Th
    June  11 + Sk
    July  11 - He
    Aug.   9 + Me
    Sept.  8 - Bo
    Oct.   7 + Py
    Nov.   6 - Ma
    Dec.   5 + Po
349 Jan.   4 - Ga
    Feb.   2 + An
    March  3 - El
    April  1 + Mo
    May    1 - Th
    May   30 + Sk
    June  29 - He
    July  28 + Me
    Aug.  27 + Bo
    Sept. 26 - Py
    Oct.  25 + Ma
    Nov.  24 - Po
    Dec.  23 + Po
348 Feb.  20 + An
    March 22 - El
    April 20 + Mo
    May   20 - Th
    June  18 + Sk
    July  18 - He
    Aug.  16 + Me
    Sept. 15 - Bo
    Oct.  14 + Py
    Nov.  13 - Ma
    Dec.  12 + Po
347 Jan.  11 + Ga
    Feb.  10 - An
    March 11 + El
    April 10 - Mo
    May    9 + Th
    June   8 - Sk
    July   7 + He
    Aug.   6 - Me
    Sept.  4 + Bo
    Oct.   4 - Py
    Nov.   2 + Ma
    Dec.   2 - Po
    Dec.  31 + Po
346 Jan.  30 - Ga
    Feb.  28 + An
    March 30 + El
    April 29 - Mo
    May   28 + Th
    June  27 - Sk
    July  26 + He
    Aug.  25 - Me
    Sept. 23 + Bo
    Oct.  23 - Py
    Nov.  21 + Ma
    Dec.  31 - Po
345 Jan.  19 + Ga
    Feb.  18 - An
    March 18 + El
    April 17 - Mo
    May   16 + Th
    June  15 - Sk
    July  14 + He
    Aug.  13 + Me
    Sept. 12 - Bo
    Oct.  11 + Py
    Nov.  10 - Ma
    Dec.   9 + Po
344 Jan.   8 - Ga
    Feb.   6 + An
    March  8 - El
    April  6 + Mo
    May    6 - Th
    June   4 + Sk
    July   4 - He
    Aug.   2 + Me
    Sept.  1 - Bo
    Sept. 30 + Py
    Oct.  30 + Ma
    Nov.  29 - Po
    Dec.  28 + Po
343 Jan.  27 - Ga
    Feb.  25 + An
    March 27 - El
    April 25 + Mo
    May   25 - Th
    June  23 + Sk
    July  23 - He
    Aug.  21 + Me
    Sept. 20 - Bo
    Oct.  19 + Py
    Nov.  18 - Ma
    Dec.  17 + Po
342 Jan.  16 - Ga
    Feb.  14 + An
    March 16 + El
    April 15 - Mo
